algoritmo,tipo_dato,tiempo1000,tiempo10000,tiempo100000
Swap Sort,int,848794,113345934,14570977620
Bubble Sort,int,433028,56033360,12942794564
Selection Sort,int,505515,37434287,3629667873
Insertion Sort,int,213060,21802128,2227761603
Merge Sort,int,228743,2529719,24549517
Quick Sort,int,39133,662301,6216299
Shell Sort,int,62544,900664,12900705
Swap Sort,double,1102720,141881820,14711747542
Bubble Sort,double,526991,85960393,13013384935
Selection Sort,double,421328,39501009,3940334013
Insertion Sort,double,162263,15807418,1633112591
Merge Sort,double,301020,2805025,31461671
Quick Sort,double,43331,721507,6751318
Shell Sort,double,68943,1003752,14492766
Swap Sort,string,4009883,482276951,45953809362
Bubble Sort,string,4397363,485571970,45805454628
Selection Sort,string,3840466,408235770,40631453948
Insertion Sort,string,1576239,164274364,16491218993
Merge Sort,string,428614,4655037,52527257
Quick Sort,string,120331,1672687,22059967
Shell Sort,string,206418,3571350,52740169
